Standings,Team.1,Total,Lobby
1.0,OnlyResenha,77,Lobby 1
2.0,TK,50,Lobby 1
3.0,Team Magestic,47,Lobby 1
4.0,CIA,40,Lobby 1
5.0,USB,37,Lobby 1
6.0,UltiMaTuM,35,Lobby 1
7.0,Slav Animals,33,Lobby 1
8.0,SLU,23,Lobby 1
9.0,Duty calls,16,Lobby 1
10.0,Sobek,15,Lobby 1
11.0,Lovely Venom,14,Lobby 1
12.0,Bicentenario,8,Lobby 1
13.0,SEM ORG,7,Lobby 1
14.0,Chimera,6,Lobby 1
15.0,War Brothers BR,6,Lobby 1
16.0,LIONS,5,Lobby 1
17.0,KDT - Amber,5,Lobby 1
18.0,Live n Kill,3,Lobby 1
19.0,Team Paragua,3,Lobby 1
20.0,PVP,2,Lobby 1
1.0,Keep Moving Fwd,43,Lobby 2
2.0,As Misera,43,Lobby 2
3.0,BRZ,39,Lobby 2
4.0,BHT,38,Lobby 2
5.0,Natural Killer,38,Lobby 2
6.0,Coquinha gelada,32,Lobby 2
7.0,ZETTA,31,Lobby 2
8.0,Blagueur,30,Lobby 2
9.0,Pandora,27,Lobby 2
10.0,Mystical,19,Lobby 2
11.0,PiscoSour,17,Lobby 2
12.0,2 And a Half Man,14,Lobby 2
13.0,Sory,10,Lobby 2
14.0,Fluxo Team,10,Lobby 2
15.0,PoliShopu,9,Lobby 2
16.0,Voy a Hacer,5,Lobby 2
17.0,Tharsis,5,Lobby 2
18.0,ICEBERGS,3,Lobby 2
19.0,xKarma,1,Lobby 2
20.0,EASY CLAP,0,Lobby 2
1.0,New Age,68,Lobby 3
2.0,OF,60,Lobby 3
3.0,AIM,58,Lobby 3
4.0,BTH,34,Lobby 3
5.0,TCS,26,Lobby 3
6.0,OMEGA,23,Lobby 3
7.0,Infinity Evo,18,Lobby 3
8.0,PTX,17,Lobby 3
9.0,LostSoulsDreamer,17,Lobby 3
10.0,Taichi Horror,16,Lobby 3
11.0,Svart Katze,16,Lobby 3
12.0,NOKID E-SPORTS,15,Lobby 3
13.0,ROCKETZ TEAM,14,Lobby 3
14.0,Teletubbies,14,Lobby 3
15.0,Vingadores Team,12,Lobby 3
16.0,Os MIAU,11,Lobby 3
17.0,KZN,9,Lobby 3
18.0,Los perro waton,8,Lobby 3
19.0,Yakuza,7,Lobby 3
20.0,EZPIKERS,0,Lobby 3
1.0,Love Egirls,54,Lobby 4
2.0,ElemenT,46,Lobby 4
3.0,SP,45,Lobby 4
4.0,ZISKA,40,Lobby 4
5.0,NÃO sei,33,Lobby 4
6.0,AGCL,32,Lobby 4
7.0,sFx,31,Lobby 4
8.0,HU3HU3HU3BR,24,Lobby 4
9.0,Inka Supremacy,19,Lobby 4
10.0,Seven,17,Lobby 4
11.0,1crack2crack,17,Lobby 4
12.0,PATETEX,16,Lobby 4
13.0,ZGravityEsports,16,Lobby 4
14.0,KARMA K41,15,Lobby 4
15.0,Spartan Warriors,12,Lobby 4
16.0,KPS,8,Lobby 4
17.0,Squad Sombra,7,Lobby 4
18.0,OS KRACUDOS,6,Lobby 4
19.0,BRATVA420Forever,4,Lobby 4
20.0,SCAL,1,Lobby 4
