Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,HGC,71,10,8,14,5,1,13,1,13,4,0,19,0,Lobby 1
2.0,SYTH,50,16,0,1,10,9,1,5,4,2,7,14,0,Lobby 1
3.0,BeastMode,45,3,5,2,8,6,5,15,2,11,4,18,0,Lobby 1
4.0,NAT,43,15,0,11,3,7,2,4,3,1,8,5,1,Lobby 1
5.0,EVA:E,42,14,0,13,1,12,0,9,0,5,8,1,12,Lobby 1
6.0,RDNS,42,6,0,6,4,3,5,16,1,3,8,12,3,Lobby 1
7.0,GEMI,42,2,9,19,0,5,4,13,0,12,0,2,5,Lobby 1
8.0,VEX,39,5,7,4,3,19,0,14,0,7,5,3,4,Lobby 1
9.0,VS,37,4,7,17,1,11,4,6,7,19,0,7,6,Lobby 1
10.0,ETOLS,37,1,7,7,3,18,0,8,0,9,3,10,3,Lobby 1
11.0,LLGS,35,7,10,16,0,8,4,3,2,13,0,6,3,Lobby 1
12.0,N2H,34,11,2,8,0,4,5,7,8,16,1,4,2,Lobby 1
13.0,ALT,27,12,0,10,3,2,3,12,0,17,3,11,4,Lobby 1
14.0,OC,24,18,0,12,0,10,1,2,9,14,0,17,1,Lobby 1
15.0,NES,23,8,1,5,7,14,0,11,3,15,1,13,1,Lobby 1
16.0,DCS,18,9,1,9,2,13,0,17,1,10,0,15,6,Lobby 1
17.0,TU,16,19,0,3,2,16,0,19,0,8,0,9,3,Lobby 1
18.0,REVO,14,13,0,18,0,17,0,10,1,6,4,8,1,Lobby 1
19.0,GEKI,9,17,1,15,0,15,5,18,1,18,0,16,0,Lobby 1
20.0,BMY,0,0,0,0,0,0,0,0,0,0,0,0,0,Lobby 1
1.0,DSG,115,1,14,4,13,1,19,18,3,14,1,1,23,Lobby 2
2.0,VMJ,54,9,3,16,2,3,9,1,15,16,0,5,0,Lobby 2
3.0,DON,48,3,5,2,6,11,5,14,1,10,2,6,6,Lobby 2
4.0,NVS,44,5,4,9,0,4,8,3,0,19,0,2,5,Lobby 2
5.0,ICHC,44,4,6,1,6,2,0,7,2,18,0,17,1,Lobby 2
6.0,2ND,42,7,7,7,0,14,5,4,3,12,5,3,2,Lobby 2
7.0,O2,39,18,1,14,0,7,3,2,6,3,5,9,2,Lobby 2
8.0,NT,35,8,0,6,1,8,0,8,1,4,14,4,0,Lobby 2
9.0,CRW,31,11,5,17,3,5,4,17,3,8,4,8,3,Lobby 2
10.0,AXIZ,30,2,3,18,0,13,0,6,2,2,2,11,0,Lobby 2
11.0,EGJP,27,6,4,8,0,16,0,5,6,7,4,15,0,Lobby 2
12.0,FAFAFA,26,14,0,20,0,17,0,10,1,1,7,12,2,Lobby 2
13.0,KZG,24,13,2,11,7,6,1,16,0,5,5,16,0,Lobby 2
14.0,JDT,23,16,0,5,4,20,0,13,5,9,0,7,4,Lobby 2
15.0,MIYAM,22,17,0,3,10,10,0,15,0,20,0,13,1,Lobby 2
16.0,LFTSF,21,15,3,12,3,9,4,19,0,11,3,19,3,Lobby 2
17.0,ScL,19,12,1,13,0,12,0,9,3,13,1,10,6,Lobby 2
18.0,ORC,15,10,0,10,1,18,0,11,3,6,2,14,0,Lobby 2
19.0,ART-G,2,19,0,19,0,15,0,12,0,17,0,18,0,Lobby 2
20.0,HITBOX,2,20,0,15,0,19,0,20,0,15,0,20,0,Lobby 2
