Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,2ND,87,13,0,1,12,1,12,5,7,14,3,2,14,Lobby 1
2.0,LLGS,63,4,10,2,10,2,4,4,4,20,1,6,3,Lobby 1
3.0,ALT,53,7,7,15,3,15,3,17,1,1,22,17,0,Lobby 1
4.0,Oasis,43,14,0,10,2,3,2,1,10,5,2,14,0,Lobby 1
5.0,SYTH,42,1,10,12,0,14,1,10,3,11,0,3,4,Lobby 1
6.0,NAT,41,2,9,11,0,8,6,9,2,7,2,9,3,Lobby 1
7.0,Zenith,40,11,0,3,4,4,5,7,8,12,0,4,1,Lobby 1
8.0,AGND,38,15,0,9,1,5,2,12,3,10,1,1,9,Lobby 1
9.0,O2,31,17,0,16,0,7,0,13,1,3,10,5,5,Lobby 1
10.0,ICHC,31,16,1,6,1,13,3,3,2,4,4,7,1,Lobby 1
11.0,WG,28,18,0,8,3,6,4,15,4,9,0,12,8,Lobby 1
12.0,REVO,27,5,6,4,5,10,2,19,0,17,3,19,0,Lobby 1
13.0,LFTSF,24,8,3,14,0,9,3,11,2,15,2,8,5,Lobby 1
14.0,GEMI,23,19,3,17,1,18,2,2,5,8,0,11,0,Lobby 1
15.0,Streamer,23,6,0,19,0,16,0,8,1,2,3,10,3,Lobby 1
16.0,EGJP,21,3,2,18,3,11,2,20,0,6,3,16,0,Lobby 1
17.0,EVA:E,17,10,5,13,3,17,2,14,3,18,0,18,0,Lobby 1
18.0,HITBOX,14,20,0,5,4,12,3,16,0,13,0,13,0,Lobby 1
19.0,DON,12,9,0,7,6,19,1,18,0,19,0,20,0,Lobby 1
20.0,ORC,9,12,0,20,0,20,0,6,1,16,0,15,3,Lobby 1
1.0,N1A,78,3,7,6,2,1,12,2,11,6,7,10,3,Lobby 2
2.0,NES,65,12,4,3,18,16,2,15,2,4,11,5,10,Lobby 2
3.0,RDNS,63,1,12,8,1,7,0,16,0,2,10,3,7,Lobby 2
4.0,GEKI,51,9,1,4,6,2,11,20,0,1,5,20,0,Lobby 2
5.0,VMJ,50,8,8,2,9,10,6,14,1,14,3,9,6,Lobby 2
6.0,KZG,45,10,0,1,10,14,0,3,12,17,0,11,0,Lobby 2
7.0,MIYAM,43,4,3,11,2,19,0,1,12,12,5,12,1,Lobby 2
8.0,NVS,39,15,0,13,1,20,0,4,4,7,3,1,9,Lobby 2
9.0,KWZ,36,16,9,19,0,9,9,5,2,18,1,8,7,Lobby 2
10.0,N2H,34,7,6,20,1,5,2,8,3,5,5,6,1,Lobby 2
11.0,HGC,32,6,4,7,1,15,4,9,7,10,0,14,4,Lobby 2
12.0,AXIZ,23,5,2,12,0,4,2,13,2,15,0,7,2,Lobby 2
13.0,RGS,22,18,0,15,0,17,0,7,0,3,1,2,1,Lobby 2
14.0,NEMO,19,2,1,14,3,8,0,10,0,16,0,13,0,Lobby 2
15.0,TXG,15,11,0,18,0,3,4,11,1,13,0,18,0,Lobby 2
16.0,Trinity,13,20,0,17,0,13,1,6,0,19,0,4,3,Lobby 2
17.0,ETOLS,12,13,0,5,0,6,1,19,0,9,1,16,0,Lobby 2
18.0,FAFAFA,11,17,0,10,4,18,0,12,0,20,0,15,3,Lobby 2
19.0,STY,10,19,1,16,0,12,0,18,0,8,6,19,0,Lobby 2
20.0,NT,7,14,1,9,0,11,0,17,0,11,1,17,0,Lobby 2
