Standings,OnlyResenha,77,77.1,Lobby,Keep Moving Fwd,43,43.1,New Age,68,68.1,Love Egirls,54,5,Round,Slav Animals,AIM,55,55.1,Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5
2.0,TK,50.0,50.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
3.0,Team Magestic,47.0,47.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
4.0,CIA,40.0,40.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
5.0,USB,37.0,3.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
6.0,UltiMaTuM,35.0,35.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
7.0,Slav Animals,33.0,33.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
8.0,SLU,23.0,23.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
9.0,Duty calls,16.0,16.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
10.0,Sobek,15.0,15.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
11.0,Lovely Venom,14.0,14.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
12.0,Bicentenario,8.0,8.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
13.0,SEM ORG,7.0,7.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
14.0,Chimera,6.0,6.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
15.0,War Brothers BR,6.0,6.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
16.0,LIONS,5.0,5.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
