,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 20, 2021 - 12:00 JSTWorld's Edge Fujii Gaming Wyvern Ichariba Chode","Round 1 Round 1 November 20, 2021 - 12:00 JSTWorld's Edge Fujii Gaming Wyvern Ichariba Chode","Round 2 Round 2 November 20, 2021 - 12:35 JSTWorld's Edge Ichariba Chode Wyvern EGJP Gaming","Round 2 Round 2 November 20, 2021 - 12:35 JSTWorld's Edge Ichariba Chode Wyvern EGJP Gaming","Round 3 Round 3 November 20, 2021 - 13:10 JSTWorld's Edge EGJP Gaming Root Union Gaming Hama9","Round 3 Round 3 November 20, 2021 - 13:10 JSTWorld's Edge EGJP Gaming Root Union Gaming Hama9","Round 4 Round 4 November 20, 2021 - 13:45 JSTWorld's Edge EGJP Gaming Schwarzerland Fujii Gaming","Round 4 Round 4 November 20, 2021 - 13:45 JSTWorld's Edge EGJP Gaming Schwarzerland Fujii Gaming"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,EGJP,56,111,0,37,99,112,77,112,88
1,2.0,Fujii Gaming,45,112,1111,102,11,82,55,37,55
2,3.0,ICHC,37,37,33,112,1010,111,33,121,0
3,4.0,WYV,34,29,22,29,55,54,33,92,0
4,5.0,RUG,29,92,0,54,33,29,99,102,0
5,6.0,ScL,26,63,33,82,0,73,0,29,66
6,7.0,STYLE,25,73,88,111,0,102,33,82,66
7,8.0,Hama9,23,54,44,121,11,37,22,111,33
8,9.0,Eclat,23,82,22,63,33,45,11,45,22
9,10.0,BB,18,131,0,45,33,131,0,63,55
10,11.0,RAIZ,12,102,11,131,0,63,11,54,0
11,12.0,Leaps White Sheep,11,45,11,92,0,121,11,131,0
12,13.0,GENIUS,11,121,0,73,22,92,0,73,0
