A vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,STK,79,2,9,3,1,2,4,1,15,5,2,5,3
2.0,BRP,70,1,16,6,2,7,3,14,0,15,0,1,17
3.0,ATH,64,5,2,1,5,5,4,5,6,1,8,10,1
4.0,EXO,51,18,3,19,1,4,8,9,7,6,8,3,7
5.0,NXL,50,7,5,11,5,10,5,18,0,3,8,2,5
6.0,DF,47,11,2,2,10,8,7,8,3,9,1,9,6
7.0,BWS,42,14,1,12,5,17,4,6,3,2,14,14,0
8.0,M2,37,6,3,4,4,19,0,2,9,11,2,11,0
9.0,MBTN,36,19,0,9,6,1,9,12,2,10,1,15,0
10.0,SNG,27,8,4,7,2,6,0,13,2,7,6,16,1
11.0,WHIZ,22,3,3,15,0,15,0,3,2,19,0,13,0
12.0,SMC,21,9,5,13,2,13,2,11,1,16,0,12,5
13.0,DML,20,12,0,5,1,12,3,7,0,12,0,8,4
14.0,PWLS,18,13,1,10,2,14,0,15,0,17,0,4,5
15.0,DNN,16,15,1,14,0,3,6,17,0,18,0,19,0
16.0,STB,16,4,0,16,0,11,0,4,0,14,4,17,0
17.0,FW,13,17,0,8,5,16,0,16,3,8,1,18,0
18.0,DESI,10,16,0,17,0,18,0,10,0,4,0,7,0
19.0,SLAY,8,10,0,18,0,9,0,19,0,13,0,6,0
20.0,GS,0,0,0,0,0,0,0,0,0,0,0,0,0
