B vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,RIG,86,17,0,15,0,1,12,2,9,1,14,3,10
2.0,BRGR,65,1,11,5,2,18,0,1,6,5,8,10,4
3.0,FA,63,7,9,2,5,8,3,6,2,15,3,1,11
4.0,LU,59,5,4,10,1,2,11,3,0,3,10,7,1
5.0,ANT,45,10,0,11,2,5,9,16,0,2,4,2,5
6.0,DNZ,44,13,6,1,15,16,0,15,5,13,3,17,0
7.0,WAT,37,14,0,8,9,9,2,10,3,4,2,4,4
8.0,OC,37,2,7,17,0,15,2,7,5,8,0,5,4
9.0,NLN,28,11,0,3,1,14,1,5,8,12,4,19,0
10.0,MON,27,9,0,7,5,4,3,8,5,16,0,15,1
11.0,EMM,22,12,3,9,8,7,3,11,0,17,0,14,0
12.0,ITR,22,8,0,4,2,11,0,12,2,6,3,13,2
13.0,PK,21,16,0,12,1,6,5,19,0,7,3,6,2
14.0,MYTH,21,3,2,18,3,10,1,13,1,14,0,8,1
15.0,DYN,19,6,0,6,2,12,0,9,1,10,1,9,2
16.0,DREAM,18,4,3,19,0,3,1,17,0,11,0,12,0
17.0,MDY.W,16,15,3,16,0,13,4,14,5,19,0,16,1
18.0,Antiaa,11,18,3,13,0,19,0,4,2,18,0,18,0
19.0,WGG,8,19,0,14,0,17,0,18,0,9,0,11,4
20.0,YFM,0,0,0,0,0,0,0,0,0,0,0,0,0
