Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,PQL
8.0,ARK5,23,16,0,6,1,1,6,11,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
9.0,GODOsushiTabetai,18,7,4,13,0,15,1,5,4,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
10.0,RDO,18,11,3,10,2,8,1,4,2,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
11.0,R.AtR,17,14,7,17,1,12,1,7,3,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
12.0,NrTv.Vs,17,4,2,11,2,9,3,8,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
13.0,C-VA KAG,13,15,0,9,4,11,4,13,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
14.0,Kingdom,11,9,3,8,2,16,1,12,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
15.0,Crest,10,8,3,15,0,7,1,19,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
16.0,Welfare,9,13,0,16,2,18,0,6,3,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
17.0,CPGaming,6,12,1,20,0,19,3,14,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
18.0,MZB,5,19,0,12,2,10,0,20,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
19.0,Zenith,4,20,0,14,3,17,0,17,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
20.0,monkey,2,18,0,18,0,14,0,15,0,Lobby 4,Quarterfinals,,,,,Preseason_Qualifier_1
1.0,LFT BKGK,79,14,0,1,14,12,3,1,6,Lobby 1,Semifinals,20.0,0.0,1.0,18.0,Preseason_Qualifier_1
2.0,FC Destroy,59,2,5,12,9,9,14,6,5,Lobby 1,Semifinals,15.0,3.0,5.0,3.0,Preseason_Qualifier_1
3.0,CJAM,54,12,0,2,4,2,4,4,8,Lobby 1,Semifinals,3.0,7.0,19.0,0.0,Preseason_Qualifier_1
4.0,BKMN,47,13,2,3,4,3,5,3,7,Lobby 1,Semifinals,4.0,2.0,20.0,0.0,Preseason_Qualifier_1
5.0,IBSG,44,8,7,7,2,8,0,5,3,Lobby 1,Semifinals,1.0,8.0,12.0,0.0,Preseason_Qualifier_1
6.0,AVA,43,6,0,16,0,5,3,2,9,Lobby 1,Semifinals,6.0,4.0,4.0,3.0,Preseason_Qualifier_1
7.0,GW,39,1,14,10,4,17,0,14,1,Lobby 1,Semifinals,16.0,4.0,16.0,1.0,Preseason_Qualifier_1
8.0,D4RK,37,18,0,17,2,10,1,18,1,Lobby 1,Semifinals,2.0,4.0,3.0,11.0,Preseason_Qualifier_1
9.0,SYTH,36,4,8,8,2,20,0,10,4,Lobby 1,Semifinals,9.0,5.0,6.0,3.0,Preseason_Qualifier_1
10.0,HE,35,11,1,4,3,1,9,17,1,Lobby 1,Semifinals,10.0,1.0,18.0,0.0,Preseason_Qualifier_1
11.0,LAG,32,5,3,14,4,18,0,16,3,Lobby 1,Semifinals,5.0,3.0,2.0,1.0,Preseason_Qualifier_1
12.0,TW,26,3,8,11,3,13,3,19,0,Lobby 1,Semifinals,19.0,0.0,9.0,1.0,Preseason_Qualifier_1
13.0,Joel Mark,26,16,0,5,3,4,6,20,0,Lobby 1,Semifinals,12.0,2.0,10.0,3.0,Preseason_Qualifier_1
14.0,NOVA,23,10,2,6,4,16,0,8,0,Lobby 1,Semifinals,17.0,5.0,8.0,3.0,Preseason_Qualifier_1
15.0,WGT,18,20,0,19,0,14,0,9,6,Lobby 1,Semifinals,7.0,0.0,7.0,3.0,Preseason_Qualifier_1
16.0,LapiLegends,17,15,3,13,0,7,4,11,0,Lobby 1,Semifinals,14.0,3.0,17.0,0.0,Preseason_Qualifier_1
17.0,Japan LFT desu,15,7,1,9,0,15,0,7,2,Lobby 1,Semifinals,8.0,0.0,13.0,0.0,Preseason_Qualifier_1
18.0,UC,13,19,0,18,0,6,2,13,0,Lobby 1,Semifinals,11.0,4.0,14.0,1.0,Preseason_Qualifier_1
19.0,FA Club FUG,11,17,0,20,0,19,0,12,4,Lobby 1,Semifinals,13.0,1.0,11.0,3.0,Preseason_Qualifier_1
20.0,YaBaL,11,9,1,15,0,11,3,15,0,Lobby 1,Semifinals,18.0,0.0,15.0,1.0,Preseason_Qualifier_1
1.0,Lunatics,86,5,10,10,4,7,5,4,23,Lobby 2,Semifinals,12.0,2.0,1.0,15.0,Preseason_Qualifier_1
2.0,RPG,70,2,4,1,10,4,7,11,0,Lobby 2,Semifinals,1.0,8.0,9.0,0.0,Preseason_Qualifier_1
3.0,Marine,62,4,11,9,3,5,7,1,6,Lobby 2,Semifinals,16.0,4.0,7.0,5.0,Preseason_Qualifier_1
4.0,456,48,1,11,4,5,20,0,3,5,Lobby 2,Semifinals,19.0,1.0,18.0,2.0,Preseason_Qualifier_1
5.0,GODOsushiTabetai,47,7,2,14,1,8,4,13,0,Lobby 2,Semifinals,2.0,14.0,6.0,7.0,Preseason_Qualifier_1
6.0,Black,47,12,0,7,3,1,14,15,1,Lobby 2,Semifinals,4.0,3.0,8.0,2.0,Preseason_Qualifier_1
7.0,ARK5,44,13,3,6,1,18,0,2,2,Lobby 2,Semifinals,5.0,6.0,2.0,6.0,Preseason_Qualifier_1
8.0,LandMarkGondola,35,10,1,12,1,17,0,5,3,Lobby 2,Semifinals,9.0,5.0,3.0,9.0,Preseason_Qualifier_1
9.0,Jamboree,31,17,1,2,7,14,3,14,6,Lobby 2,Semifinals,18.0,1.0,10.0,0.0,Preseason_Qualifier_1
10.0,KaisenDONDON,30,3,6,18,0,2,5,18,1,Lobby 2,Semifinals,20.0,0.0,13.0,1.0,Preseason_Qualifier_1
11.0,ORC,26,20,0,19,0,3,5,7,3,Lobby 2,Semifinals,10.0,2.0,5.0,0.0,Preseason_Qualifier_1
12.0,Ace1,24,8,2,8,2,9,1,12,0,Lobby 2,Semifinals,3.0,4.0,14.0,0.0,Preseason_Qualifier_1
13.0,RDO,22,19,0,3,4,12,1,9,3,Lobby 2,Semifinals,13.0,1.0,12.0,1.0,Preseason_Qualifier_1
14.0,TSURUGI,20,6,1,5,6,10,0,20,0,Lobby 2,Semifinals,6.0,0.0,15.0,0.0,Preseason_Qualifier_1
15.0,EXiA KR,18,15,5,16,3,16,1,6,2,Lobby 2,Semifinals,15.0,2.0,20.0,0.0,Preseason_Qualifier_1
16.0,NANB,14,16,0,13,8,13,0,8,0,Lobby 2,Semifinals,11.0,1.0,16.0,0.0,Preseason_Qualifier_1
17.0,InTheSky,13,18,0,15,0,19,0,17,0,Lobby 2,Semifinals,17.0,0.0,4.0,7.0,Preseason_Qualifier_1
18.0,QueenSquadRoyal,13,11,0,11,0,15,2,10,1,Lobby 2,Semifinals,7.0,1.0,19.0,1.0,Preseason_Qualifier_1
19.0,DCN,11,9,0,20,0,6,0,16,1,Lobby 2,Semifinals,8.0,0.0,11.0,2.0,Preseason_Qualifier_1
20.0,MRB,10,14,0,17,0,11,1,19,0,Lobby 2,Semifinals,14.0,4.0,17.0,2.0,Preseason_Qualifier_1
1.0,CJAM,67,1,13,4,7,18,0,2,4,Lobby 1,Finals,11.0,1.0,2.0,6.0,Preseason_Qualifier_1
2.0,D4RK,59,11,0,9,1,1,11,8,3,Lobby 1,Finals,6.0,3.0,1.0,9.0,Preseason_Qualifier_1
3.0,LFT BKGK,53,4,3,12,6,8,3,5,11,Lobby 1,Finals,7.0,3.0,3.0,5.0,Preseason_Qualifier_1
4.0,Lunatics,50,10,4,11,8,3,5,3,5,Lobby 1,Finals,8.0,3.0,7.0,3.0,Preseason_Qualifier_1
5.0,GODOsushiTabetai,42,2,3,1,7,14,2,14,3,Lobby 1,Finals,16.0,0.0,5.0,0.0,Preseason_Qualifier_1
6.0,GW,41,14,2,2,6,5,1,6,2,Lobby 1,Finals,14.0,2.0,6.0,7.0,Preseason_Qualifier_1
7.0,KaisenDONDON,35,5,4,6,1,12,2,11,0,Lobby 1,Finals,5.0,3.0,4.0,7.0,Preseason_Qualifier_1
8.0,IBSG,35,3,9,8,1,9,1,20,0,Lobby 1,Finals,2.0,4.0,17.0,0.0,Preseason_Qualifier_1
9.0,Marine,34,15,2,17,0,6,5,10,0,Lobby 1,Finals,1.0,8.0,12.0,0.0,Preseason_Qualifier_1
10.0,Black,33,16,3,10,0,16,3,1,11,Lobby 1,Finals,17.0,0.0,10.0,0.0,Preseason_Qualifier_1
11.0,AVA,33,8,0,15,0,10,4,4,3,Lobby 1,Finals,3.0,5.0,14.0,3.0,Preseason_Qualifier_1
12.0,RPG,31,12,0,3,7,4,8,18,1,Lobby 1,Finals,19.0,0.0,8.0,0.0,Preseason_Qualifier_1
13.0,FC Destroy,26,19,4,16,3,7,7,9,4,Lobby 1,Finals,18.0,0.0,18.0,3.0,Preseason_Qualifier_1
14.0,456,26,9,1,13,1,19,0,16,5,Lobby 1,Finals,10.0,9.0,13.0,4.0,Preseason_Qualifier_1
15.0,LandMarkGondola,26,20,0,19,0,2,4,13,4,Lobby 1,Finals,9.0,1.0,9.0,3.0,Preseason_Qualifier_1
16.0,BKMN,23,13,0,7,4,17,0,7,0,Lobby 1,Finals,4.0,7.0,16.0,0.0,Preseason_Qualifier_1
17.0,ARK5,21,7,9,18,0,15,1,12,2,Lobby 1,Finals,12.0,2.0,15.0,0.0,Preseason_Qualifier_1
18.0,HE,21,6,1,14,2,11,2,17,0,Lobby 1,Finals,15.0,2.0,11.0,7.0,Preseason_Qualifier_1
19.0,SYTH,10,17,0,5,3,13,1,15,0,Lobby 1,Finals,20.0,0.0,20.0,0.0,Preseason_Qualifier_1
20.0,Jamboree,6,18,0,20,0,20,0,19,0,Lobby 1,Finals,13.0,5.0,19.0,0.0,Preseason_Qualifier_1
1.0,REAH,51,7,7,2,6,3,8,4,6,Lobby 1,Round_1,,,,,Preseason_Qualifier_2
2.0,D4RK,46,1,9,3,8,7,0,6,4,Lobby 1,Round_1,,,,,Preseason_Qualifier_2
3.0,LAG,39,2,5,9,0,2,5,5,5,Lobby 1,Round_1,,,,,Preseason_Qualifier_2
4.0,ARZ,37,10,1,1,9,11,0,2,3,Lobby 1,Round_1,,,,,Preseason_Qualifier_2
5.0,Ace1,36,4,1,4,2,1,10,11,0,Lobby 1,Round_1,,,,,Preseason_Qualifier_2
6.0,Core Second,29,6,0,7,4,9,0,1,5,Lobby 1,Round_1,,,,,Preseason_Qualifier_2
7.0,TSURUGI,26,3,1,8,0,6,3,3,3,Lobby 1,Round_1,,,,,Preseason_Qualifier_2
8.0,Harmony Glory,15,5,0,6,0,4,1,9,0,Lobby 1,Round_1,,,,,Preseason_Qualifier_2
9.0,WYV,14,8,1,5,1,5,0,8,0,Lobby 1,Round_1,,,,,Preseason_Qualifier_2
10.0,Zenith,11,9,2,11,0,8,0,7,1,Lobby 1,Round_1,,,,,Preseason_Qualifier_2
11.0,track,7,11,0,10,0,10,0,10,0,Lobby 1,Round_1,,,,,Preseason_Qualifier_2
1.0,AVA,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2
2.0,BeastMode,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2
3.0,Creatives,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2
4.0,DDD,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2
5.0,Kingdom,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2
6.0,QueenSquadRoyal,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2
7.0,RadicalPopGaming,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2
8.0,RootunionGaming,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2
9.0,UC,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2
10.0,monkey,0,0,0,0,0,0,0,0,0,Lobby 2,Round_1,,,,,Preseason_Qualifier_2
1.0,HE,45,3,10,6,4,9,0,1,7,Lobby 3,Round_1,,,,,Preseason_Qualifier_2
2.0,NAT,41,2,2,8,1,4,4,2,9,Lobby 3,Round_1,,,,,Preseason_Qualifier_2
3.0,RDO,40,10,0,3,6,2,7,7,6,Lobby 3,Round_1,,,,,Preseason_Qualifier_2
4.0,PiratesOfMirage,38,5,2,1,8,3,3,10,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_2
5.0,ENG,30,1,7,5,0,8,0,6,2,Lobby 3,Round_1,,,,,Preseason_Qualifier_2
6.0,LLGS,28,9,1,9,0,1,4,3,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_2
7.0,IBSG,25,4,4,10,0,5,5,4,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_2
8.0,NFM,22,8,1,2,4,10,0,5,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_2
9.0,GEMI,15,6,0,7,2,7,2,9,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_2
10.0,Serpens,15,7,0,4,1,6,1,8,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_2
11.0,SAEKO,0,20,0,20,0,20,0,20,0,Lobby 3,Round_1,,,,,Preseason_Qualifier_2
1.0,EXiA KR,42,3,9,11,0,2,10,9,4,Lobby 4,Round_1,,,,,Preseason_Qualifier_2
2.0,ARK5,40,9,0,9,0,1,6,2,9,Lobby 4,Round_1,,,,,Preseason_Qualifier_2
3.0,KaisenDONDON,38,1,8,2,3,6,0,6,0,Lobby 4,Round_1,,,,,Preseason_Qualifier_2
4.0,YaBaL,33,10,0,1,7,11,0,3,4,Lobby 4,Round_1,,,,,Preseason_Qualifier_2
5.0,OC,29,8,0,3,5,4,2,4,3,Lobby 4,Round_1,,,,,Preseason_Qualifier_2
6.0,C-VA KAG,28,4,3,6,6,9,3,7,3,Lobby 4,Round_1,,,,,Preseason_Qualifier_2
7.0,Solid,28,2,3,7,3,5,3,10,1,Lobby 4,Round_1,,,,,Preseason_Qualifier_2
8.0,ORB.G,23,11,0,10,0,8,3,1,3,Lobby 4,Round_1,,,,,Preseason_Qualifier_2
9.0,JDT,21,5,0,4,2,3,2,11,0,Lobby 4,Round_1,,,,,Preseason_Qualifier_2
10.0,Lixis,17,7,2,5,2,10,0,8,2,Lobby 4,Round_1,,,,,Preseason_Qualifier_2
11.0,SyS,16,6,3,8,0,7,0,5,1,Lobby 4,Round_1,,,,,Preseason_Qualifier_2
1.0,Ark cha Puppy,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2
2.0,BlackGorillaN,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2
3.0,DoSanKo,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2
4.0,TeamRoyHage,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2
5.0,WGT,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2
6.0,EB,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2
7.0,LFT BKGK,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2
8.0,sspZ,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2
9.0,ORC,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2
10.0,TW,1,0,1,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2
11.0,MBT,0,0,0,0,0,0,0,0,0,Lobby 5,Round_1,,,,,Preseason_Qualifier_2
1.0,BEXT,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2
2.0,Black,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2
3.0,Crest,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2
4.0,DCN,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2
5.0,Fujii Gaming,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2
6.0,HIT,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2
7.0,Ignition,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2
8.0,LandMarkGondola,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2
9.0,LapiLegends,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2
10.0,RuinZ,0,0,0,0,0,0,0,0,0,Lobby 6,Round_1,,,,,Preseason_Qualifier_2
1.0,Joel Mark,76,3,4,2,10,1,9,1,13,Lobby 7,Round_1,,,,,Preseason_Qualifier_2
2.0,Lunatics,59,4,7,1,16,6,6,5,6,Lobby 7,Round_1,,,,,Preseason_Qualifier_2
3.0,APXRS,37,1,8,9,1,10,0,3,5,Lobby 7,Round_1,,,,,Preseason_Qualifier_2
4.0,NrTv.Vs,29,7,1,3,0,2,4,10,3,Lobby 7,Round_1,,,,,Preseason_Qualifier_2
5.0,SYTH,26,2,5,6,0,5,4,11,0,Lobby 7,Round_1,,,,,Preseason_Qualifier_2
6.0,Atum,25,5,1,4,1,3,4,7,0,Lobby 7,Round_1,,,,,Preseason_Qualifier_2
7.0,KIBIINA-NO-OUCHI,17,6,0,4,0,7,0,4,1,Lobby 7,Round_1,,,,,Preseason_Qualifier_2
8.0,EGJP,15,11,0,8,1,9,0,2,0,Lobby 7,Round_1,,,,,Preseason_Qualifier_2
9.0,WOW.AXIS,12,10,0,10,0,4,1,9,0,Lobby 7,Round_1,,,,,Preseason_Qualifier_2
10.0,aim,9,8,0,7,0,11,0,6,0,Lobby 7,Round_1,,,,,Preseason_Qualifier_2
11.0,Next,8,9,0,11,0,8,1,8,0,Lobby 7,Round_1,,,,,Preseason_Qualifier_2
1.0,456,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2
2.0,FA Club FUG,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2
3.0,FaTe Diamond,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2
4.0,Fada-one Arcana,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2
5.0,goo choki paa,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2
6.0,leaps whitesheep,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2
7.0,Marine,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2
8.0,TFC,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2
9.0,Welfare,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2
10.0,FC Destroy,0,0,0,0,0,0,0,0,0,Lobby 8,Round_1,,,,,Preseason_Qualifier_2
1.0,LAG,73,8,3,1,15,1,5,1,12,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2
2.0,Ace1,43,4,1,4,2,2,9,3,5,Lobby 1,Quarterfinals,,,,,Preseason_Qualifier_2
