Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Split
RID,28,5,0,16,0,7,1,5,0,2,5,9,0,Round 12,Split_1
QF,24,18,2,17,3,20,0,7,7,17,0,6,6,Round 12,Split_1
RUG,20,9,8,20,0,12,0,15,3,11,0,11,3,Round 12,Split_1
BEXT,16,17,0,7,4,17,2,14,0,9,0,15,3,Round 12,Split_1
YOG,14,15,1,15,0,15,3,12,2,20,0,14,3,Round 12,Split_1
LAG,11,14,0,14,2,5,3,20,0,18,0,20,0,Round 12,Split_1
Flora,7,19,0,12,0,10,0,8,1,15,0,17,0,Round 12,Split_1
UNI,66,12,2,13,1,1,11,2,6,15,0,1,10,Round 1,Split_1
RC,64,2,8,3,6,12,0,5,4,7,1,3,14,Round 1,Split_1
RID,59,1,12,1,9,9,4,12,0,6,0,14,3,Round 1,Split_1
FAK,54,18,3,12,0,5,4,1,17,12,1,10,9,Round 1,Split_1
RXC,49,6,9,9,4,20,0,19,0,1,19,20,0,Round 1,Split_1
QF,35,13,0,2,13,10,0,6,1,19,1,7,2,Round 1,Split_1
GW,34,7,2,8,6,11,4,4,8,13,1,12,0,Round 1,Split_1
MTR,32,15,1,17,0,4,3,3,2,9,3,4,3,Round 1,Split_1
D4RK,31,14,3,18,2,18,3,10,6,18,0,2,5,Round 1,Split_1
TW,31,4,3,15,0,16,0,11,5,3,5,8,2,Round 1,Split_1
LFTW,31,3,5,4,2,14,3,20,0,8,4,13,1,Round 1,Split_1
RPG,28,11,1,10,3,8,6,18,0,2,4,16,0,Round 1,Split_1
ALV,28,10,5,6,5,7,4,15,0,20,0,6,2,Round 1,Split_1
UC,27,5,3,7,4,6,3,8,2,11,1,15,0,Round 1,Split_1
RIG-N,26,9,0,5,2,3,6,16,0,16,0,9,3,Round 1,Split_1
Flora,26,8,1,20,0,2,2,13,3,5,4,17,0,Round 1,Split_1
LDN,26,17,0,11,4,15,0,7,3,10,3,5,5,Round 1,Split_1
AVA,12,20,0,19,0,19,0,14,0,4,5,11,0,Round 1,Split_1
BEXT,7,19,0,14,0,13,2,17,0,14,2,19,0,Round 1,Split_1
RUG,5,16,0,16,0,17,0,9,2,17,1,18,0,Round 1,Split_1
LAG,62,1,8,20,0,1,8,2,6,8,1,11,3,Round 2,Split_1
αD,57,15,5,18,6,10,1,5,3,4,0,1,18,Round 2,Split_1
NTH,53,2,8,7,0,20,0,10,0,1,12,4,2,Round 2,Split_1
DTN,47,3,11,1,10,19,3,18,1,15,0,9,0,Round 2,Split_1
FL,40,9,3,14,1,14,0,14,1,2,8,6,10,Round 2,Split_1
ORF,38,16,1,17,4,7,5,1,6,9,1,5,0,Round 2,Split_1
IGZ,36,14,1,6,2,2,10,20,0,5,6,19,0,Round 2,Split_1
V3,35,12,1,16,0,18,2,6,10,3,7,7,1,Round 2,Split_1
FCD,33,8,8,19,0,12,6,17,3,16,3,8,8,Round 2,Split_1
CR,31,20,0,4,8,6,5,7,6,19,0,14,0,Round 2,Split_1
DAI,31,6,3,8,7,15,2,4,2,12,3,12,1,Round 2,Split_1
FSV,29,11,2,13,2,17,0,11,5,17,3,3,7,Round 2,Split_1
GTS,28,10,0,12,0,8,8,13,4,10,6,13,1,Round 2,Split_1
FAV,28,13,2,11,3,3,3,9,0,6,4,10,0,Round 2,Split_1
CAG,27,5,2,3,0,9,2,3,2,11,0,17,0,Round 2,Split_1
USG,27,4,0,2,6,5,0,8,0,14,0,18,0,Round 2,Split_1
RZ,23,19,1,5,1,16,0,12,2,18,0,2,5,Round 2,Split_1
FLCO,14,7,3,9,4,11,1,16,0,20,0,20,0,Round 2,Split_1
REAH,14,17,0,10,1,13,4,19,0,7,2,15,0,Round 2,Split_1
YOG,12,18,0,15,2,4,0,15,0,13,2,16,0,Round 2,Split_1
FAK,71,2,5,8,5,4,4,9,8,1,15,15,3,Round 3,Split_1
αD,65,9,4,19,0,1,8,8,5,9,4,1,14,Round 3,Split_1
UNI,62,1,7,7,0,2,4,2,5,13,1,3,4,Round 3,Split_1
RC,57,3,17,4,7,19,0,12,0,7,7,5,6,Round 3,Split_1
RIG-N,51,17,0,2,8,6,4,1,5,4,1,7,1,Round 3,Split_1
GTS,46,5,4,9,4,3,6,3,3,14,3,14,4,Round 3,Split_1
FCD,38,10,7,16,0,12,5,5,14,16,3,16,2,Round 3,Split_1
REAH,36,7,2,14,3,7,6,6,0,2,5,11,0,Round 3,Split_1
YOG,36,14,0,17,0,5,0,11,3,3,4,2,7,Round 3,Split_1
FAV,33,11,2,1,5,16,0,15,1,6,4,9,2,Round 3,Split_1
RXC,27,20,0,15,3,9,8,10,2,20,1,8,6,Round 3,Split_1
FSV,24,8,0,3,8,15,0,20,0,15,0,10,3,Round 3,Split_1
ORF,24,16,1,5,2,11,3,7,2,11,1,4,1,Round 3,Split_1
LDN,20,18,0,6,4,18,0,4,5,12,1,13,0,Round 3,Split_1
RPG,17,12,0,18,0,10,4,14,3,8,4,18,0,Round 3,Split_1
DAI,15,15,0,20,0,17,0,17,0,9,4,6,5,Round 3,Split_1
LAG,13,6,4,11,2,14,0,16,0,17,1,12,0,Round 3,Split_1
UC,13,19,0,13,3,13,3,13,0,5,0,19,0,Round 3,Split_1
LFTW,11,13,6,12,2,20,0,18,0,18,1,17,0,Round 3,Split_1
AVA,10,4,1,10,0,8,0,19,0,19,0,20,0,Round 3,Split_1
FL,73,11,1,9,8,8,4,5,7,1,13,1,7,Round 4,Split_1
DTN,49,15,0,6,3,1,11,12,3,13,4,5,6,Round 4,Split_1
CR,48,8,3,1,13,12,0,8,4,17,1,7,7,Round 4,Split_1
Flora,46,17,2,8,6,13,1,4,5,14,2,3,14,Round 4,Split_1
RZ,46,3,7,12,0,6,7,6,5,3,3,11,2,Round 4,Split_1
V3,44,19,0,5,0,2,8,2,7,5,2,16,1,Round 4,Split_1
GW,43,1,10,13,0,3,8,16,0,15,2,9,0,Round 4,Split_1
NTH,42,2,1,3,3,5,4,7,1,4,4,14,0,Round 4,Split_1
QF,39,18,0,4,3,11,4,1,8,8,1,12,2,Round 4,Split_1
MTR,32,7,6,11,3,19,0,18,0,2,10,18,0,Round 4,Split_1
TW,32,4,5,19,0,20,0,10,0,16,4,2,7,Round 4,Split_1
BEXT,25,10,7,16,0,4,6,20,0,9,3,19,0,Round 4,Split_1
RID,25,13,3,2,8,7,1,19,0,19,0,20,0,Round 4,Split_1
IGZ,25,14,1,14,0,10,1,3,5,7,1,8,1,Round 4,Split_1
FLCO,23,6,1,20,0,14,3,15,2,11,3,4,3,Round 4,Split_1
RUG,21,20,0,17,4,9,2,9,4,6,4,17,0,Round 4,Split_1
USG,21,12,1,7,1,15,1,14,2,12,0,13,8,Round 4,Split_1
CAG,13,5,1,10,0,16,0,11,0,10,0,6,0,Round 4,Split_1
ALV,12,9,1,15,0,17,1,13,3,20,0,10,1,Round 4,Split_1
D4RK,6,16,3,18,0,18,0,17,2,18,0,15,0,Round 4,Split_1
LFTW,93,7,4,2,11,1,10,1,9,1,9,12,1,Round 5,Split_1
FAK,52,1,12,3,7,17,0,8,7,16,3,13,1,Round 5,Split_1
IGZ,51,3,5,1,10,10,3,14,0,10,0,4,4,Round 5,Split_1
UNI,49,4,1,7,8,16,0,3,3,15,2,2,10,Round 5,Split_1
CR,43,20,0,18,0,11,2,4,11,17,0,1,12,Round 5,Split_1
RIG-N,42,11,3,17,0,14,1,2,10,2,7,15,0,Round 5,Split_1
DTN,35,19,3,13,0,5,10,16,0,4,7,10,3,Round 5,Split_1
CAG,35,2,12,16,2,19,0,13,1,5,3,16,3,Round 5,Split_1
FL,33,15,0,11,3,8,6,19,2,6,3,3,5,Round 5,Split_1
RC,29,9,3,4,3,15,4,9,4,9,3,19,0,Round 5,Split_1
LDN,29,8,4,6,4,12,0,5,2,12,2,5,2,Round 5,Split_1
FLCO,26,14,0,8,2,3,5,20,0,7,5,17,1,Round 5,Split_1
RZ,24,10,1,15,0,2,4,12,0,8,0,18,4,Round 5,Split_1
USG,21,5,3,10,2,6,5,15,0,19,0,14,0,Round 5,Split_1
V3,20,6,2,12,1,18,0,6,0,13,1,6,5,Round 5,Split_1
UC,18,12,2,19,0,9,0,7,5,14,0,8,2,Round 5,Split_1
NTH,17,13,0,9,2,20,0,11,0,3,0,9,2,Round 5,Split_1
RPG,14,17,0,5,2,13,0,10,1,11,1,11,1,Round 5,Split_1
RXC,11,16,0,20,0,7,7,18,0,20,0,20,1,Round 5,Split_1
AVA,11,18,0,14,0,4,0,17,1,18,0,7,1,Round 5,Split_1
αDR,87,1,11,2,5,6,2,1,12,4,5,4,6,Round 6,Split_1
FCD,70,16,4,18,4,7,8,9,5,2,12,1,11,Round 6,Split_1
FSV,65,13,2,1,12,2,9,12,3,8,6,8,6,Round 6,Split_1
Flora,50,4,10,14,1,5,7,2,5,19,0,3,1,Round 6,Split_1
GW,49,2,4,4,8,14,1,5,2,9,3,7,7,Round 6,Split_1
RID,47,9,7,8,4,1,6,3,2,6,2,19,0,Round 6,Split_1
LAG,37,11,1,3,5,20,0,4,3,15,1,2,4,Round 6,Split_1
GTS,33,5,0,12,3,8,4,16,3,1,4,18,0,Round 6,Split_1
BEXT,32,3,4,5,4,11,1,14,3,11,0,14,5,Round 6,Split_1
TW,29,7,3,10,1,9,3,11,2,14,3,5,4,Round 6,Split_1
FAV,24,20,0,16,2,10,7,17,0,3,6,17,0,Round 6,Split_1
MTR,24,18,0,11,2,3,6,10,4,10,0,16,0,Round 6,Split_1
ORF,22,14,2,9,1,19,0,6,7,20,0,6,3,Round 6,Split_1
YOG,20,10,1,6,2,12,0,8,3,13,3,9,0,Round 6,Split_1
ALV,19,15,0,19,0,16,3,13,3,7,3,10,3,Round 6,Split_1
QF,19,6,1,20,0,4,4,15,1,16,1,15,2,Round 6,Split_1
RUG,18,17,0,7,3,13,0,18,0,5,6,11,0,Round 6,Split_1
D4RK,13,8,4,17,0,17,0,20,0,12,0,13,5,Round 6,Split_1
REAH,13,12,2,15,3,18,0,7,0,18,0,12,2,Round 6,Split_1
DAI,3,19,0,13,1,15,0,19,0,17,0,20,0,Round 6,Split_1
GW,72,3,10,2,5,7,1,2,2,11,3,1,10,Round 7,Split_1
FAK,65,19,0,1,17,12,3,10,9,18,0,3,14,Round 7,Split_1
UC,57,6,4,5,5,13,1,1,11,2,7,19,0,Round 7,Split_1
MTR,56,2,8,4,11,5,9,6,4,8,1,18,0,Round 7,Split_1
RID,55,1,8,20,0,3,3,18,0,1,9,5,0,Round 7,Split_1
RUG,43,16,0,3,2,17,1,7,5,4,12,4,3,Round 7,Split_1
LDN,42,15,0,10,6,1,8,13,1,3,2,8,0,Round 7,Split_1
Flora,40,20,0,7,1,4,11,5,6,6,5,13,1,Round 7,Split_1
RXC,38,8,6,17,0,10,2,9,4,12,1,7,15,Round 7,Split_1
LFTW,36,14,3,6,1,11,4,4,7,10,3,10,4,Round 7,Split_1
RC,34,12,2,16,0,14,2,15,4,15,6,2,7,Round 7,Split_1
QF,22,11,2,19,0,6,1,3,5,9,0,11,0,Round 7,Split_1
RIG-N,20,5,2,8,6,18,3,12,0,13,0,15,0,Round 7,Split_1
UNI,19,10,1,12,0,2,4,14,0,17,0,14,0,Round 7,Split_1
AVA,18,9,0,13,0,16,3,20,0,7,6,6,0,Round 7,Split_1
RPG,15,4,6,14,0,9,0,11,0,16,0,20,0,Round 7,Split_1
ALV,14,7,1,11,4,15,0,16,0,14,2,12,0,Round 7,Split_1
D4RK,13,13,1,9,1,8,2,19,0,20,0,9,2,Round 7,Split_1
BEXT,8,17,2,18,0,19,0,17,0,5,2,17,0,Round 7,Split_1
TW,7,18,0,15,0,20,0,8,1,19,0,16,3,Round 7,Split_1
αDR,77,3,2,10,5,1,9,4,6,5,5,1,8,Round 8,Split_1
CR,72,8,11,1,8,7,1,19,0,1,14,6,6,Round 8,Split_1
NTH,61,10,4,2,4,13,0,2,6,2,2,2,6,Round 8,Split_1
V3,55,15,2,9,5,2,9,1,13,17,0,9,0,Round 8,Split_1
RZ,49,9,2,14,0,4,8,3,4,4,5,3,3,Round 8,Split_1
FAV,43,1,8,11,1,20,0,7,1,3,6,5,0,Round 8,Split_1
FSV,42,2,17,15,2,8,4,11,1,10,3,20,0,Round 8,Split_1
GTS,37,12,1,3,6,5,6,9,0,15,0,7,6,Round 8,Split_1
USG,34,4,4,8,5,6,7,18,1,6,3,14,0,Round 8,Split_1
FL,28,18,0,7,3,14,3,14,6,20,0,10,9,Round 8,Split_1
LAG,24,17,0,18,0,3,4,12,1,14,5,4,0,Round 8,Split_1
CAG,23,7,3,12,1,10,0,5,3,12,2,15,2,Round 8,Split_1
FCD,22,16,1,5,6,19,0,10,3,9,1,16,3,Round 8,Split_1
DTN,20,13,2,13,4,15,2,15,2,7,3,18,0,Round 8,Split_1
ORF,20,5,0,4,2,9,0,17,0,16,0,8,5,Round 8,Split_1
FLCO,16,6,1,6,2,18,0,13,4,13,1,19,0,Round 8,Split_1
YOG,15,14,0,16,0,11,1,8,5,8,1,11,1,Round 8,Split_1
DAI,10,19,0,17,0,12,3,20,0,11,4,17,1,Round 8,Split_1
REAH,10,20,0,19,0,16,0,6,2,18,0,12,4,Round 8,Split_1
IGZ,5,11,0,20,0,17,0,16,3,19,0,13,0,Round 8,Split_1
αDR,96,3,2,1,15,9,1,1,6,1,7,1,8,Round 9,Split_1
RIG-N,64,1,10,3,4,3,3,18,2,7,1,3,8,Round 9,Split_1
FSV,52,15,0,16,2,1,12,8,7,16,1,4,10,Round 9,Split_1
FCD,41,19,1,13,2,8,9,5,15,19,0,7,4,Round 9,Split_1
RC,39,17,3,7,0,20,2,10,0,7,6,2,11,Round 9,Split_1
UC,39,9,3,14,1,12,0,2,3,2,10,16,0,Round 9,Split_1
LAG,38,6,1,2,1,15,0,3,5,13,2,6,5,Round 9,Split_1
RPG,38,2,3,15,7,4,1,6,0,3,2,20,0,Round 9,Split_1
FAK,37,8,13,10,5,11,5,14,0,20,0,5,4,Round 9,Split_1
REAH,34,12,1,6,4,2,5,16,2,5,4,13,0,Round 9,Split_1
GTS,28,5,10,12,3,17,0,19,0,8,7,18,1,Round 9,Split_1
RXC,27,16,1,9,3,19,2,13,3,9,10,8,1,Round 9,Split_1
LFTW,24,10,1,11,1,5,2,11,1,4,1,9,3,Round 9,Split_1
UNI,23,4,0,20,0,6,3,4,5,10,0,19,0,Round 9,Split_1
DAI,22,13,0,5,5,7,7,17,0,14,0,15,0,Round 9,Split_1
YOG,20,14,0,4,0,13,1,9,6,15,3,17,0,Round 9,Split_1
ORF,16,11,6,18,0,14,1,7,1,12,0,10,0,Round 9,Split_1
FAV,12,7,4,17,0,18,0,12,0,18,0,11,3,Round 9,Split_1
LDN,12,20,0,8,3,10,1,20,0,17,3,14,0,Round 9,Split_1
AVA,6,18,0,19,0,16,1,15,0,11,0,12,2,Round 9,Split_1
CR,104,1,11,14,5,14,4,1,15,2,15,3,12,Round 10,Split_2
V3,55,8,2,10,3,3,6,4,6,18,0,1,10,Round 10,Split_2
Flora,50,20,0,4,6,1,10,3,5,19,0,7,2,Round 10,Split_2
GW,47,17,2,1,13,5,0,10,1,3,4,14,1,Round 10,Split_2
USG,41,15,0,20,0,13,2,2,9,1,6,15,0,Round 10,Split_2
DTN,36,2,5,13,0,12,4,14,1,20,0,2,5,Round 10,Split_2
FL,35,10,9,16,0,4,6,15,0,15,3,10,6,Round 10,Split_2
FLCO,34,13,6,6,0,7,4,11,1,4,6,5,0,Round 10,Split_2
RID,33,4,2,3,4,9,1,9,0,17,4,6,3,Round 10,Split_2
MTR,28,14,0,17,0,2,11,12,0,6,2,13,0,Round 10,Split_2
RZ,26,5,5,9,1,15,0,16,3,14,3,11,5,Round 10,Split_2
BEXT,25,6,5,12,0,18,2,13,2,9,4,8,3,Round 10,Split_2
IGZ,25,3,4,5,2,16,0,8,1,5,0,12,0,Round 10,Split_2
NTH,24,7,0,2,1,8,0,6,2,7,1,16,0,Round 10,Split_2
TW,23,11,1,8,10,6,3,17,1,12,1,20,0,Round 10,Split_2
CAG,23,12,0,19,0,19,0,5,5,8,0,4,6,Round 10,Split_2
RUG,18,9,1,11,2,17,0,7,3,10,0,9,2,Round 10,Split_2
D4RK,13,19,0,15,3,10,6,19,0,16,1,19,0,Round 10,Split_2
ALV,12,16,0,7,5,11,0,18,0,13,2,18,0,Round 10,Split_2
QF,10,18,4,18,0,20,0,20,0,11,5,17,0,Round 10,Split_2
CR,86,8,3,12,0,14,4,1,12,1,18,1,9,Round 11,Split_2
RC,70,4,8,8,8,2,7,3,5,13,6,4,7,Round 11,Split_2
FL,54,16,0,1,9,9,9,18,0,12,0,2,12,Round 11,Split_2
UNI,48,2,3,4,5,12,3,7,1,6,2,3,6,Round 11,Split_2
V3,47,5,10,10,3,5,4,9,0,2,6,6,0,Round 11,Split_2
LDN,43,3,2,7,5,1,8,19,1,10,3,19,0,Round 11,Split_2
FLCO,35,7,6,14,0,16,0,2,7,4,3,15,0,Round 11,Split_2
RIG-N,34,13,1,6,3,4,6,15,3,20,0,9,9,Round 11,Split_2
UC,34,1,11,18,0,18,1,17,0,3,3,18,0,Round 11,Split_2
USG,30,20,0,2,4,3,1,5,1,18,0,7,1,Round 11,Split_2
DTN,29,10,2,5,5,7,2,8,3,11,4,12,0,Round 11,Split_2
FAK,26,12,1,15,3,17,4,10,3,9,3,10,4,Round 11,Split_2
IGZ,25,15,5,9,1,10,1,6,6,8,1,11,0,Round 11,Split_2
RPG,22,9,1,16,1,6,2,11,2,14,1,5,4,Round 11,Split_2
NTH,21,14,1,19,0,15,0,4,4,7,2,8,2,Round 11,Split_2
RZ,20,19,0,3,1,8,4,13,3,15,0,14,0,Round 11,Split_2
LFTW,11,6,5,13,2,19,0,20,0,16,0,17,0,Round 11,Split_2
AVA,9,11,0,11,2,11,1,16,3,17,0,20,0,Round 11,Split_2
CAG,9,17,0,17,0,13,1,12,0,5,1,13,0,Round 11,Split_2
RXC,4,18,0,20,0,20,0,14,0,19,3,16,0,Round 11,Split_2
FSV,66,1,16,10,2,11,9,6,1,3,6,12,6,Round 12,Split_2
GW,65,3,3,4,2,1,17,4,9,19,0,7,2,Round 12,Split_2
FAV,49,8,1,5,7,6,2,13,2,14,0,1,14,Round 12,Split_2
D4RK,48,10,4,2,10,16,0,3,4,4,7,19,0,Round 12,Split_2
TW,46,11,4,3,6,18,0,1,8,13,0,4,2,Round 12,Split_2
DAI,40,20,0,9,4,13,0,18,0,1,13,5,4,Round 12,Split_2
GTS,38,16,1,8,5,14,3,16,0,5,7,2,6,Round 12,Split_2
ORF,38,6,1,11,1,2,4,2,6,16,1,18,3,Round 12,Split_2
FCD,36,4,3,6,2,8,7,9,6,12,3,10,0,Round 12,Split_2
ALV,33,13,4,18,0,9,6,10,4,7,9,13,1,Round 12,Split_2
MTR,29,7,3,13,3,4,0,17,0,10,2,3,3,Round 12,Split_2
αDR,29,2,4,19,2,3,2,19,0,8,1,8,0,Round 12,Split_2
REAH,28,12,3,1,4,19,0,11,2,6,1,16,1,Round 12,Split_2
RID,28,5,0,16,0,7,1,5,0,2,5,9,0,Round 12,Split_2
QF,24,18,2,17,3,20,0,7,7,17,0,6,6,Round 12,Split_2
RUG,20,9,8,20,0,12,0,15,3,11,0,11,3,Round 12,Split_2
BEXT,16,17,0,7,4,17,2,14,0,9,0,15,3,Round 12,Split_2
YOG,14,15,1,15,0,15,3,12,2,20,0,14,3,Round 12,Split_2
LAG,11,14,0,14,2,5,3,20,0,18,0,20,0,Round 12,Split_2
Flora,7,19,0,12,0,10,0,8,1,15,0,17,0,Round 12,Split_2
UNI,66,12,2,13,1,1,11,2,6,15,0,1,10,Round 1,Split_2
RC,64,2,8,3,6,12,0,5,4,7,1,3,14,Round 1,Split_2
RID,59,1,12,1,9,9,4,12,0,6,0,14,3,Round 1,Split_2
FAK,54,18,3,12,0,5,4,1,17,12,1,10,9,Round 1,Split_2
RXC,49,6,9,9,4,20,0,19,0,1,19,20,0,Round 1,Split_2
QF,35,13,0,2,13,10,0,6,1,19,1,7,2,Round 1,Split_2
GW,34,7,2,8,6,11,4,4,8,13,1,12,0,Round 1,Split_2
MTR,32,15,1,17,0,4,3,3,2,9,3,4,3,Round 1,Split_2
D4RK,31,14,3,18,2,18,3,10,6,18,0,2,5,Round 1,Split_2
TW,31,4,3,15,0,16,0,11,5,3,5,8,2,Round 1,Split_2
LFTW,31,3,5,4,2,14,3,20,0,8,4,13,1,Round 1,Split_2
RPG,28,11,1,10,3,8,6,18,0,2,4,16,0,Round 1,Split_2
ALV,28,10,5,6,5,7,4,15,0,20,0,6,2,Round 1,Split_2
UC,27,5,3,7,4,6,3,8,2,11,1,15,0,Round 1,Split_2
RIG-N,26,9,0,5,2,3,6,16,0,16,0,9,3,Round 1,Split_2
Flora,26,8,1,20,0,2,2,13,3,5,4,17,0,Round 1,Split_2
LDN,26,17,0,11,4,15,0,7,3,10,3,5,5,Round 1,Split_2
AVA,12,20,0,19,0,19,0,14,0,4,5,11,0,Round 1,Split_2
BEXT,7,19,0,14,0,13,2,17,0,14,2,19,0,Round 1,Split_2
RUG,5,16,0,16,0,17,0,9,2,17,1,18,0,Round 1,Split_2
LAG,62,1,8,20,0,1,8,2,6,8,1,11,3,Round 2,Split_2
αD,57,15,5,18,6,10,1,5,3,4,0,1,18,Round 2,Split_2
NTH,53,2,8,7,0,20,0,10,0,1,12,4,2,Round 2,Split_2
DTN,47,3,11,1,10,19,3,18,1,15,0,9,0,Round 2,Split_2
FL,40,9,3,14,1,14,0,14,1,2,8,6,10,Round 2,Split_2
ORF,38,16,1,17,4,7,5,1,6,9,1,5,0,Round 2,Split_2
IGZ,36,14,1,6,2,2,10,20,0,5,6,19,0,Round 2,Split_2
V3,35,12,1,16,0,18,2,6,10,3,7,7,1,Round 2,Split_2
FCD,33,8,8,19,0,12,6,17,3,16,3,8,8,Round 2,Split_2
CR,31,20,0,4,8,6,5,7,6,19,0,14,0,Round 2,Split_2
DAI,31,6,3,8,7,15,2,4,2,12,3,12,1,Round 2,Split_2
FSV,29,11,2,13,2,17,0,11,5,17,3,3,7,Round 2,Split_2
GTS,28,10,0,12,0,8,8,13,4,10,6,13,1,Round 2,Split_2
FAV,28,13,2,11,3,3,3,9,0,6,4,10,0,Round 2,Split_2
CAG,27,5,2,3,0,9,2,3,2,11,0,17,0,Round 2,Split_2
USG,27,4,0,2,6,5,0,8,0,14,0,18,0,Round 2,Split_2
RZ,23,19,1,5,1,16,0,12,2,18,0,2,5,Round 2,Split_2
FLCO,14,7,3,9,4,11,1,16,0,20,0,20,0,Round 2,Split_2
REAH,14,17,0,10,1,13,4,19,0,7,2,15,0,Round 2,Split_2
YOG,12,18,0,15,2,4,0,15,0,13,2,16,0,Round 2,Split_2
FAK,71,2,5,8,5,4,4,9,8,1,15,15,3,Round 3,Split_2
αD,65,9,4,19,0,1,8,8,5,9,4,1,14,Round 3,Split_2
UNI,62,1,7,7,0,2,4,2,5,13,1,3,4,Round 3,Split_2
RC,57,3,17,4,7,19,0,12,0,7,7,5,6,Round 3,Split_2
RIG-N,51,17,0,2,8,6,4,1,5,4,1,7,1,Round 3,Split_2
GTS,46,5,4,9,4,3,6,3,3,14,3,14,4,Round 3,Split_2
FCD,38,10,7,16,0,12,5,5,14,16,3,16,2,Round 3,Split_2
