Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,CR,82,6,10,10,6,4,12,1,8,7,3,4,12
2.0,ORF,81,1,6,5,2,3,9,11,2,1,7,1,4
3.0,FCD,50,15,0,16,3,1,16,18,0,13,1,7,3
4.0,USG,50,7,3,9,3,2,6,2,5,14,0,9,0
5.0,NVS,48,9,0,2,13,7,0,17,1,4,3,3,5
6.0,FAV,46,13,5,7,3,17,0,6,8,8,3,5,8
7.0,DTN,44,2,7,20,0,11,1,19,0,10,11,15,4
8.0,GTS,43,10,2,12,3,9,3,3,15,16,0,8,6
9.0,N1A,39,3,7,3,8,18,0,10,3,20,0,10,3
10.0,FLCO,36,12,0,8,3,19,0,7,3,5,13,12,6
11.0,CAG,32,19,0,6,3,8,3,14,1,3,7,13,0
12.0,PAN,32,20,0,11,0,20,0,5,4,2,8,16,1
13.0,NAT,31,11,3,4,3,12,2,8,1,9,2,2,0
14.0,ENG,30,4,7,17,3,10,2,4,1,11,0,11,3
15.0,RID,27,18,1,1,8,14,0,12,1,15,1,19,1
16.0,KIII,22,8,0,14,0,5,0,15,1,6,1,20,0
17.0,LDN,19,14,6,15,0,13,3,9,2,18,0,14,0
18.0,Flora,14,5,0,19,0,15,1,16,1,17,1,6,3
19.0,MTR,8,17,0,18,0,6,0,13,3,12,0,17,0
20.0,CRW,5,16,0,13,0,16,0,20,1,19,0,18,3
